RANK,ANT,CON,GRAVITY,CONF,SUPP,CF,DISS,POT
1,"['21', '8', '25']",['38'],1.975974,1,0.001,1,0.025,0.975
2,"['21', '38']",['8'],1.966926,1,0.002,1,0.035,0.965
3,"['21', '38', '25']",['8'],1.964963,1,0.001,1,0.036,0.964
4,"['26', '25']",['10'],1.960959,1,0.001,1,0.04,0.96
5,"['8', '38']",['21'],1.959912,1,0.002,1,0.042,0.958
6,"['8', '38', '25']",['21'],1.957956,1,0.001,1,0.043,0.957
7,"['8', '38']","['21', '25']",1.49649247746835,0.5,0.001,0.498495486459378,0.003,0.997002991008973
8,"['21', '25']","['8', '38']",1.49649247746835,0.333333333333333,0.001,0.498495486459378,0.003,0.997002991008973
9,"['21', '38']","['8', '25']",1.49498795188742,0.5,0.001,0.497991967871486,0.004,0.996003984015936
10,"['8', '25']","['21', '38']",1.49498795188742,0.25,0.001,0.497991967871486,0.004,0.996003984015936
11,"['38', '25']","['21', '8']",1.4934824122108,0.5,0.001,0.49748743718593,0.005,0.995004975024875
12,"['21', '34']",['6'],1.44936650143143,0.5,0.001,0.4824016563147,0.034,0.966032845116734
13,"['10', '8']",['6'],1.44936650143143,0.5,0.001,0.4824016563147,0.034,0.966032845116734
14,"['21', '6']",['8'],1.44475083273376,0.5,0.001,0.480789200415369,0.037,0.963035632318396
15,"['21', '34']",['8'],1.44475083273376,0.5,0.001,0.480789200415369,0.037,0.963035632318396
16,"['38', '25']",['8'],1.44475083273376,0.5,0.001,0.480789200415369,0.037,0.963035632318396
17,"['21', '38']",['25'],1.44321003763866,0.5,0.001,0.48024948024948,0.038,0.962036557389181
18,"['8', '38']",['25'],1.44321003763866,0.5,0.001,0.48024948024948,0.038,0.962036557389181
19,"['21', '8', '38']",['25'],1.44321003763866,0.5,0.001,0.48024948024948,0.038,0.962036557389181
20,"['6', '8']",['10'],1.43858088682695,0.5,0.001,0.478623566214807,0.041,0.959039320612145
21,"['21', '6']",['34'],1.43703556963153,0.5,0.001,0.478079331941545,0.042,0.958040237689983
22,"['6', '8']",['21'],1.43394151354964,0.5,0.001,0.476987447698745,0.044,0.956042065850897
23,"['6', '34']",['21'],1.43394151354964,0.5,0.001,0.476987447698745,0.044,0.956042065850897
24,"['38', '25']",['21'],1.43394151354964,0.5,0.001,0.476987447698745,0.044,0.956042065850897
25,"['21', '8']",['38'],1.35893239227965,0.4,0.002,0.383983572895277,0.027,0.97307881938437
26,"['21', '25']",['38'],1.2895118480544,0.333333333333333,0.001,0.315537303216975,0.027,0.973052544837421
27,"['21', '25']",['8'],1.27068105144409,0.333333333333333,0.001,0.307718933887158,0.038,0.962073117556934
28,"['6', '10']",['8'],1.27068105144409,0.333333333333333,0.001,0.307718933887158,0.038,0.962073117556934
29,"['34', '25']",['8'],1.27068105144409,0.333333333333333,0.001,0.307718933887158,0.038,0.962073117556934
30,"['8', '34']",['25'],1.26896027084649,0.333333333333333,0.001,0.306999306999307,0.039,0.96107496384718
31,"['26', '30']",['10'],1.26378890037996,0.333333333333333,0.001,0.304831421619743,0.042,0.958080478760216
32,"['10', '30']",['21'],1.25860388800119,0.333333333333333,0.001,0.302649930264993,0.045,0.955085957736196
33,"['8', '34']",['21'],1.25860388800119,0.333333333333333,0.001,0.302649930264993,0.045,0.955085957736196
34,"['10', '25']",['26'],1.25340510521659,0.333333333333333,0.001,0.300454704442113,0.048,0.952091400774474
35,"['10', '30']",['26'],1.25340510521659,0.333333333333333,0.001,0.300454704442113,0.048,0.952091400774474
36,"['21', '10']",['30'],1.24993153561381,0.333333333333333,0.001,0.298983526112864,0.05,0.95009500950095
37,"['8', '25']",['38'],1.2029571209781,0.25,0.001,0.229979466119096,0.028,0.972081654859008
38,"['26', '10']",['25'],1.18133743419988,0.25,0.001,0.22037422037422,0.04,0.960115213825659
39,"['8', '25']",['34'],1.17407720657186,0.25,0.001,0.217118997912317,0.044,0.956126208659543
40,"['8', '25']",['21'],1.1704368417186,0.25,0.001,0.215481171548117,0.046,0.954131670170484
41,"['26', '10']",['30'],1.16130568609551,0.25,0.001,0.211356466876972,0.051,0.94914521921854
